#	THĂNG
$	ĐỒNG
ADRIATIQUE	A ĐỜ RI A TÍCH
ADVAITA	ÁT VAI TA
ADY	A ĐI
ADZARIJA	ÁT GIA RI GIA
AEROBIC	A E RÔ BÍT
AFAEL	A PHA EN
AFAR	A PHA
AFGANISTAN	ÁP GA NÍT TĂNG
AFGHANISTAN	ÁP GA NÍT TĂNG
AFTA	ÁP TA
AGAMEMNON	A GA MEM NON
AGANA	A GA NA
AGASSIZ	A GA XI
AGOSTINO	A GÓT TI NÔ
AGRIBANK	A RI BĂNG
AGRICOLA	A GỜ RI CÔ LA
AGRIPPINE	A GỜ RI BIN
AGUILERA	Ê GUI LÊ RA
AGUINALDO	A GHI NAN ĐÔ
AHAGGAR	A HA GA
AHLĐ	ANH HÙNG LAO ĐỘNG
AHLGREN	AN GỜ REN
AHLLVT	ANH HÙNG LỰC LƯỢNG VŨ TRANG
AHLLVTND	ANH HÙNG LỰC LƯỢNG VŨ TRANG NHÂN DÂN
AHLS	ANH HÙNG LIỆT SĨ
AHMAD	A MÁT
AHMADI	A MA DI
AHMADINEJAD	A MA ĐI NÊ GIÁT
AHMED	A MÉT
AHO	A HÔ
AHURA	A HU RA
AIDIT	AI ĐÍT
AIKEN	AI CƠN
AILEN	AI LEN
AIR	E
AIRBUS	E BỚT
AIRES	AI RÉT
AIRLANGGA	AI RỜ LANG GA
AIRLINE	E LAI
AIRLINES	E LAI
AIRWAYS	E QUAY
AJACCIO	A GIA XI Ô
AJANTA	A GIAN TA
AJAX	A GIẮC
AJMATOV	AI MA TỐP
AJMIR	AI MIA
AKADEMOS	A CA ĐÊ MÓT
AKAN	A CAN
AKAYEV	A CA DÉP
AKBAR	ÁC BA
AKI	A CI
AKIHITO	A KI HI TÔ
AKKAD	A CÁT
AKMOLA	ÁC MÔ LA
AKMOLINSK	ÁC MÔ LIN XỜ CƠ
AKSUM	ÁC XUM
AKUREYRI	A CU RÂY RI
AL	AN
ALABAMA	A LA BA MA
ALADIN	A LA ĐIN
ALAIN	A LA IN
ALAJUELA	A LA GIU Ê LA
ALAN	A LAN
ALASKA	A LÁT CA
ALATAU	A LA TAU
ALAUNGPAYA	A LA UNG BAY A
ALAVES	A LA VÉT
ALBA	AN BA
ALBANIA	AN BA NI
ALBENIZ	AN BÊ NÍT
ALBERT	AN BỚT
ALBERTI	AN BÉC TI
ALBERTINI	AN BÉT TI NI
ALBERTO	AN BÉT TÔ
ALBET	AN BÉT
ALDAN	AN ĐAN
ALDER	AN ĐƠ
ALDRIN	AN ĐỜ RIN
ALEGRE	A LÊ GỜ RI
ALEGRIA	A LÊ GỜ RI A
ALEKSANDROVICH	A LẾCH XAN ĐỜ RÔ VÍCH
ALEPPO	A LÉP BÔ
ALESSANDRA	A LÉT SAN RA
ALESSANDRO	A LÉT XĂNG ĐƠ
ALEUT	A LÊ ÚT
ALEUTIAN	A LÊU SAN
ALEX	A LÁCH
ALEXANDER	A LÁCH XĂNG ĐƠ
ALEXANDRE	A LẾCH XAN ĐỜ RƠ
ALEXANDRIE	A LẾCH XAN ĐỜ RI
ALFED	AN PHÉT
ALFIERI	AN PHI Ê RI
ALFONSO	AN PHÔNG XÔ
ALFRED	AN PHÉT
ALGER	AN GIƠ
ALGERIA	AN GIÊ RI A
ALI	A LI
ALICE	A LÍT
ALICIA	A LI XI A
ALIGHIERI	A LI GHI Ê RI
ALIGN	Ờ LAI
ALISJAHBANA	A LÍT GIA BA NA
ALISON	A LI XƠN
ALIYEV	A LI DÉP
ALLAH	A LA
ALLAN	A LAN
ALLAWI	AN LA QUY
ALLEN	A LEN
ALLENDE	A LI EN ĐÊ
ALMA	AN MA
ALMADIES	AN MA ĐI
ALMATY	AN MA TI
ALMEIDA	AN MÂY ĐA
ALMOHADES	AN MÔ HÁT
ALMUNIA	AN MU NI A
ALONSO	A LÔN XÔ
ALONZO	A LÔN GIÔ
ALPES	AN BƠ
ALPI	AN BI
ALSACE	AN SA XƠ
ALTAJ	AN TAI
ALTERNATE	AN TƠ NẾT
ALTERNATIVE	AN TƠ NÂY TI
ALTHUSSER	AN TUY XƠ
ALTIMO	AN TI MÔ
ALTIS	AN TÍT
ALTYN	AN TIN
ALVAREZ	AN VA RÉT
ALVARO	AN VA RÔ
ALZHEIMER	AN GIÊ MƠ
AMADO	A MA ĐÔ
AMADORA	A MA ĐÔ RA
AMAGER	A MA GIƠ
AMALIE	A MA LI
AMALIENBORG	A MA LI EN BOÓC
AMAMI	A MA MI
AMANDA	A MAN ĐA
AMAOBI	A MA Ô BI
AMARA	A MA RA
AMARO	A MA RÔ
AMATA	A MA TA
AMATERASU	A MA TÊ RA SU
AMATI	A MA TI
AMAZASPOVICH	A MA GIÁT BÔ VÍCH
AMAZON	A MA GIÔN
AMBON	AM BON
AMBOSINI	AM BÔ SI NI
AMBROSINI	AM RỐT SI NI
AMENIA	A MÊ NI A
AMENOPHIS	A MÊ NÔ PHÍT
AMERICA	Ờ ME RI CA
AMERICAN	Ờ ME RI KHÂN
AMERIGO	A MÊ RI GÔ
AMERLING	A MÉC LINH
AMIDAN	A MI ĐAN
AMIEL	A MI EN
AMINO	A MI Ô
AMIR	A MIA
AMMAN	AM MAN
AMMON	AM MON
AMOGHAVAJRA	A MÔ GA VAI RA
AMON	A MÔN
AMOS	A MỐT
AMSTEDAM	AM XỜ TÉT ĐAM
AMSTEL	AM XỜ TEN
AMSTERDAM	AM TÉT ĐAM
AMSTRONG	AM TRON
AMUNDSEN	A MUN XEN
AMUR	A MUA
ANA	A NA
ANADOLU	A NA ĐÔ LU
ANADYRSKIJ	A NA ĐI RỜ XỜ KI
ANAIMALAI	A NAI MA LAI
ANANDA	A NAN ĐA
ANANOVA	A NA NÔ VA
ANATOLY	A NA TÔ LY
ANAWRAHTA	A NAO RA TA
ANAXAGORAS	A NA XA GÔ RÁT
ANAXAGORE	A NA XA GÔ RƠ
ANAXIMANDRE	A NA XI MAN ĐỜ RƠ
ANAXIMANDROS	A NA XI MAN ĐỜ RỐT
ANAXIMENES	A NA XI MÊ NÉT
ANBANI	AN BA NI
ANCELOTTI	EN XÊ LÓT TI
ANCO	AN CÔ
ANCOHUMA	AN CÔ HU MA
ANDALUCIA	AN ĐA LU XI A
ANDAMAN	AN ĐA MAN
ANDEI	AN ĐY
ANDERS	AN ĐƠ
ANDERSEN	AN ĐƠ SEN
ANDERSON	AN ĐƠ SÂN
ANDES	AN ĐÉT
ANDIJAN	AN ĐI GIAN
ANDOKINES	AN ĐÔ KI NÉT
ANDORRA	AN ĐO RA
ANDREA	AN RI A
ANDREEVNA	AN ĐỜ RÉP NA
ANDREI	AN RÂY
ANDRES	AN RÉT
ANDREW	AN RIU
ANDREY	EN RÂY
ANDRIANOVICH	AN ĐỜ RI A NÔ VÍCH
ANDRIY	EN RI
ANĐT	AN NINH ĐIỀU TRA
ANDY	EN ĐY
ANELKA	AN NEN CA
ANFIELD	AN PHIU
ANGARA	AN GA RA
ANGEL	EN GỒ
ANGELA	AN GE LA
ANGELES	AN GIƠ LÉT
ANGELINA	AN GÊ LI NA 
ANGELO	AN GE LÔ
ANGELS	EN GỒ
ANGKO	ĂNG CO
ANGKOR	ĂNG CO
ANGOLA	ĂNG GÔ LA
ANGRA	AN GỜ RA
ANGUILLA	AN GU Y LA
ANISTON	A NÍT SÂN
ANITA	A NI TA
ANKARA	AN CA RA
ANNA	A NA
ANNAN	A NAN
ANND	AN NINH NHÂN DÂN
ANNE	EN NI
ANNECY	AN NÊ XI
ANNIBAL	AN NI BAN
ANNIE	EN NI
ANNUNZIATA	AN NUN GI A TA
ANOKHIN	A NÔ KHIN
ANOSOV	A NÔ XỐP
ANOUILH	A NU I
ANQG	AN NINH QUỐC GIA
ANQP	AN NINH QUỐC PHÒNG
ANSARI	AN SA RI
ANSELME	AN XEN MƠ
ANTAKYA	AN TA KI A
ANTANANARIVE	AN TA NA NA RI VƠ
ANTĐ	AN NINH THỦ ĐÔ
ANTG	AN NINH THẾ GIỚI
ANTHONY	AN THO NY
ANTI	AN TI
ANTIGUA	AN TI GU A
ANTILLES	AN TI LÉT
ANTIOCH	AN TI Ô SỜ
ANTIOKHEIA	AN TI Ô KHÂY A
ANTIOKHOS	AN TI Ô KHỐT
ANTOFAGASTA	AN TÔ PHA GÁT TA
ANTONESCU	AN TÔ NÉT CU
ANTONIO	AN TÔ NI Ô
ANTONIONI	AN TÔ NI Ô NI
ANTONIUS	AN TÔ NI ÚT
ANTQ	AN NINH TỔ QUỐC
ANTT	AN NINH TRẬT TỰ
ANTTVH	AN NINH TƯ TƯỞNG VĂN HÓA
ANTWERPEN	AN TU Ơ BEN
ANUCHIN	A NU CHIN
ANVERS	AN VÊ
ANVH	AN NINH VĂN HÓA
AORAL	A Ô RAN
APEC	A BÁCH
APENNIN	A BEN NIN
APHRODITE	A PHỜ RÔ ĐÍT
APIA	A BI A
APO	A BÔ
APOLLINAIRE	A BÔ LI NE
APOLLO	A BÔ LÔ
APOLLON	A BÔ LÔNG
APPALACHIANS	ÁP BA LÁT CHAN GIỜ
APPELL	A BEN
APPENNINE	A BEN NIN
APPLE	ÂY BỒ
APSARA	ÁP XA RA
APTECH	ÁP TÁCH
APURE	A BU RÊ
AQUABA	A QUA BA
AQUINCUM	A KIN CUM
AQUINO	A KI NÔ
ARAB	A RÁP
ARABES	Ả RẬP
ARABIA	A RA BI A
ARAFAT	A RA PHÁT
ARAFURA	A RA PHU RA
ARAGO	A RA GÔ
ARAGON	A RA GÔNG
ARAKAN	A RA CAN
ARAKS	A RÁC XỜ
ARAL	A RAN
ARANSK	A RAN XỜ CƠ
ARAP	A RẬP
ARARAT	A RA RÁT
ARAS	A RÁT
ARBUZOV	ÁC BU GIỐP
ARCHER	A SƠ
ARCHIMEDES	ÁC SI MÉT
ARCHIPENKO	ÁC SI BEN CÔ
ARCOLE	ÁC CÔN
ARDENNE	ÁC ĐEN
ARE	A
AREIOS	A RÂY ỐT
ARENA	A RE NA
AREQUIPA	A RÊ KI BA
ARFWEDSON	ÁP QUÉT XƠN
ARGENTINA	ẮC HEN TI NA
ARGHEZI	ÁC GHÊ GI
ARGOS	ÁC GÓT
ARGOVIE	ÁC GÔ VI
ARGUEDAS	ÁC GHÊ ĐÁT
ARIEL	A RI EN
ARIKAMEDU	A RI KA MÊ ĐU
ARIN	A RIN
ARIOSTO	A RI ỐT TÔ
ARIQ	A RÍCH
ARISTIPPOS	A RÍT TI BÓT
ARISTOPHANES	A RÍT TÔ PHA NÉT
ARISTOTE	A RÍT TỐT
ARIZONA	A RI GIÔ NA
ARJEN	A GIEN
ARKANSAS	A CAN XÁT
ARKHANGENSK	ÁC KHAN GHEN XỜ CƠ
ARKHIPOV	ÁC KHI BỐP
ARMAN	ÁC MAN
ARMANDO	ÁT MAN ĐÔ
ARMANI	ÁT MA NI
ARMELLINI	ÁC MÊ LI NI
ARMENIA	ÁT MÊ NI  A
ARMORICAIN	ÁC MÔ RI CAN
ARMORY	A MO RI
ARMSTRONG	AM TRONG
AROYO	A RÔ DÔ
ARP	ÁC BƠ
ARRAS	A RÁT
ARRHENIUS	A RÊ NI ÚT
ARROYO	A RÔ DÔ
ARSENAL	A SEN NỒ
ARSENE	A SEN
ARSERNAL	A SEN NỒ
ART	ẠT
ARTAUD	ÁC TÔ
ARTOIS	ÁC TOA
ARU	A RU
ARUBA	A RU BA
ARVAD	A RƠ VÁT
ARVIZO	A RI GIÔ
ARYAN	A RI AN
ASAHI	A SA HI
ASANGA	A XAN GA
ASCOLI	ÁT CO LI
ASEB	A XÉP
ASEM	A SEM
ASENAL	A SEN NỒ
ASENE	A SEN
ASHAVIN	A SA VIN
ASHKHABAD	A SƠ KHA BÁT
ASHLEE	ÉT LY
ASHLEY	ÉT LY
ASHOKA	A SÔ KA
ASIA	A SI A
ASIAD	A SI ÁT
ASIAN	A SI AN
ASIANA	A SI A NA
ASMARA	ÁT MA RA
ASP	ÂY ÉT PI
ASPLUND	ÁT XƠ PHỜ LUN
ASSAD	ÁT XA
ASSAM	ÁT XAM
ASSOUAN	ÁT XU AN
ASSOUR	ÁT XU A
ASSOURBANIPAL	ÁT XU A BA NI BAN
ASSYRIA	ÁT XI RI A
ASSYRIE	ÁT XI RI
ASTANA	ÁT TA NA
ASTERIK	ÁT TÊ RÍCH
ASTON	ÁT TÂN
ASTRAKHAN	ÁT TRA KHAN
ASTURIAS	ÁT TU RI ÁT
ASUNCION	A XUN XI ÔN
ASVAGHOSA	ÁT VA GÔ XA
ASXH	AN SINH XÃ HỘI
AT	ÁT
ATACAMA	A TA CA MA
ATAFU	A TA PHU
ATAHUALPA	A TA HU AN BA
ATAKORA	A TA CÔ RA
ATALANTA	ÁT TA LAN TA
ATBXHN	AN TOÀN BỨC XẠ HẠT NHÂN
ATĐB	AN TOÀN ĐƯỜNG BỘ
ATGT	AN TOAN GIAO THÔNG
ATGTQG	AN TOÀN GIAO THÔNG QUỐC GIA
ATHABASCA	A THA BÁT CA
ATHANASIUS	A THA NA XI ÚT
ATHENAEUM	A TÊ NÊ UM
ATHENS	A TEN
ATHINAI	A THA NÂY
ATKT	AN TOÀN KỸ THUẬT
ATLAN	ÁT LĂNG
ATLANTA	ÁT LAN TA
ATLANTIC	ÁT LAN TÍC
ATLANTIS	ÁT LAN TÍT
ATLAS	ÁT LÁT
ATLĐ	AN TOÀN LAO ĐỘNG
ATLETICO	A LÉT TI CÔ
ATNĐ	ÁP THẤP NHIỆT ĐỚI
ATOLL	A TÔN
ATTACH	ẠT TÁCH
ATTAPU	ÁT TA BU
ATTICA	ÁT TI CA
ATTILA	ÁT TI LA
ATTLEE	ÁT LI
ATTP	AN TOÀN THỰC PHẨM
ATVS	AN TOÀN VỆ SINH
ATVSLĐ	AN TOÀN VỆ SINH LAO ĐỘNG
ATVSTP	AN TOÀN VỆ SINH THỰC PHẨM
ATVSV	AN TOÀN VỆ SINH VIÊN
AUDIO	ÂU ĐI Ô
AUDITION	ÂU ĐI SẦN
AUGSBURG	AO GỚT BỚT
AUGUSTE	AO GỚT
AUGUSTINUS	AO GỚT TI NÚT
AUGUSTO	AO GỚT TÔ
AUGUSTUS	AO GỚT TÚT
AUNG	A UNG
AUSTERLITZ	AO XỜ TÉC LÍT
AUSTRALIA	ỐT TRÂY LI A
AUSTRALIAN	ỐT TRÂY LI A
AUTO	ÂU TÔ
AUTOCAD	ÂU TÔ CẠT
AVA	A VA
AVARUA	A VA RU A
AVATAR	A VA TA
AVENARIUS	A VÊ NA RI ÚT
AVIATOR	E VI ÂY TƠ
AVICENNE	A VI XEN NƠ
AVIGNON	A VIN HÔNG
AVOGADRO	A VÔ GA ĐỜ RÔ
AVRAMOVIC	A RA MÔ VÍT
AWARD	Ờ QUA
AWARDS	Ờ QUA
AYALA	A GIA LA
AYER	A DƠ
AYMAN	AY MEN
AYRES	ÂY RÉT
AYUMI	A GIU MI
AYUTHAYA	A DU THA DA
AZ	A GIƠ
AZANDE	A GIAN ĐƠ
AZERBAIJAN	A GIẮC BAI GIAN
AZERBAIJANI	A GIÉC BAI GIAN
AZIZ	A GÍT
AZOV	A GIỐP
AZTEC	ÁT TÉC
AZZURRI	A GIU RI
B	BÊ
BAALBEK	BAN BẾCH
BAARGELD	BÁC GHEN
BABBAGE	BA BÊ GIƠ
BABEL	BA BEN
BABENBERG	BA BEN BỚT
BABEUF	BA BỚP
BABINSKI	BA BIN XỜ KI
BABRAK	BA BỜ RẮC
BABRIUS	BA BỜ RI ÚT
BABY	BÊ BI
BABYLONE	BA BI LON
BACCHUS	BÁC SỚT
BACELONA	BÁT XÊ LÔ NA
BACHELARD	BA SƠ LÁT
BACHOFEN	BA KHÔ PHEN
BACKUS	BÁC CÚT
BACN	BỮA ĂN CÔNG NGHIỆP
BACOLOD	BA CÔ LỐT
BACON	BÊ CƠN
BACTRIA	BÁC TRI A
BACTRIANE	BÁC TRI AN
BAD	BÉT
BADAWI	BA ĐA QUI
BADEN	BA ĐEN
BADILE	BA ĐI LƠ
BADMINTON	BÁT MIN TƠN
BAECK	BẾCH
BAEKELAND	BA KÊ LEN
BAEKJE	BÁCH
BAEYER	BA DƠ
BAFFIN	BA PHIN
BAGDAD	BÁT ĐA
BAGGIO	BÁT GIÔ
BAGHDAD	BÁT ĐA
BAGRATION	BA GỜ RA TI ÔN
BAHAIN	BA HA IN
BAHAMAS	BA HA MÁT
BAHARU	BA HA RU
BAHRAIN	BA RA IN
BAHREIN	BA RANH
BAILEY	BAI LY
BAIRD	BE ỚT
BAIRIKI	BAI RI KI
BAJIE	BA GI
BAJKAL	BAI CAN
BAJKONUR	BAI CÔ NUA
BAJSUNTAU	BAI XUN TAU
BAKER	BÊ KHƠ
BAKHTIN	BA KHƠ TIN
BAKONY	BA CÔ NI
BAKSOKO	BẮC XÔ CÔ
BAKST	BẮC XỜ TƠ
BAKTRIJA	BÁC TRI A
BAKU	BA CU
BAKULEV	BA CU LÉP
BAKUNIN	BA CU NIN
BALABAC	BA LA BÁC
BALANCHINE	BA LAN CHIN
BALANDIN	BA LEN ĐIN
BALATON	BA LA TƠN
BALBOA	BAN BOA
BALEARES	BA LÊ A RÉT
BALEARIC	BA LÊ A RÍCH
BALI	BA LI
BALKAN	BAN CĂNG
BALKHASH	BAN KHÁT
BALL	BÔN
BALLA	BA LA
BALLACK	BA LẮC
BALLET	BA LÊ
BALLMER	BAN MƠ
BALLY	BA LI
BALTEA	BAN TÊ A
BALTIC	BAN TÍCH
BALZAC	BAN GIẮC
BAMAKO	BA MA CÔ
BAMBANG	BAM BANG
BAMBARI	BĂM BA RI
BANA	BA NA
BANACH	BA NẮC
BANARAS	BA NA RÁT
BAND	BEN
BANDA	BAN ĐA
BANDAMA	BĂNG ĐA MA
BANDEIRA	BAN ĐÂY RA
BANDUNG	BĂNG ĐUNG
BANGKOK	BĂNG CỐC
BANGLADESH	BĂNG LA ĐÉT
BANGUI	BANG GU I
BANGWEULU	BANG GU LU
BANJA	BAN GIA
BANJARMASSIN	BAN GIA MA XIN
BANJUL	BAN GIUN
BANK	BEN
BANKING	BEN CING
BANNER	BEN NƠ
BANTU	BAN TU
BAPTISTE	BÁP TÍT
BARACK	BA RẮC
BARAN	BA RAN
BARBADOS	BÁC BA ĐỐT
BARBARA	BÁC BA RA
BARBER	BÁC BƠ
BARBIE	BA BI
BARBIZON	BẮC BI GIÔN
BARBUDA	BÁC BU ĐA
BARBUSSE	BÁC BUÝT
BARCA	BÁT XA
BARCELONA	BÁT XÊ LÔ NA
BARCLAY	BÁC CỜ LÂY
BARDEEN	BA ĐIN
BARENTS	BA REN
BARENTSBURG	BA REN XỜ BỚT
BARGUZIN	BÁC GU GIN
BARITO	BA RI TÔ
BARLEY	BA LY
BARMEN	BÁC MEN
BARNARD	BA NỚT
BARNETT	BA NÉT
BAROJA	BA RÔ GIA
BARONOVA	BA RÔ NÔ VA
BAROS	BA RỐT
BAROSO	BA RÔ SÔ
BARQUISIMETO	BÁC KI XI MÊ TÔ
BARRANQUILLA	BA RAN KI LA
BARRAULT	BA RÔN
BARROSO	BA RÔ SÔ
BARROU	BA RU
BARRY	BA RY
BARRYMORE	BA RY MO
BARSOVA	BÁC XÔ VA
BARTH	BA THƠ
BARTHOLOMEN	BÁC TÔ LÔ MEN
BARTOLOMEO	BÁC TÔ LÔ MÊ Ô
BARTON	BA TƠN
BARYE	BA RI
BASA	BA SA
BASAYEV	BA SA DÉP
BASEDOW	BÂY ĐÔ
BASEL	BA XEN
BASHAR	BÁT SA
BASKERVILLE	BA XỜ CƠ VIN
BASOV	BA XỐP
BASRA	BÁT RA
BASS	BÁT
BASSA	BA XA
BASSAC	BÁT XẮC
BASSE	BÁT
BASSOUTOS	BÁT XU TÓT
BASSTIAL	BÁT TI AN
BASTEN	BÁT TEN
BASTIAT	BÁT TI ÁT
BASTIDE	BÁT TI ĐƠ
BASTILLE	BÁT TI
BASUTOLAND	BA XU TÔ LEN
BATALOV	BA TA LỐP
BATAVIA	BA TA VI A
BATHURST	BA THỚT
BATISTA	BA TI XỜ TA
BATNA	BÁT NA
BATTAMBANG	BÁT TAM BANG
BATUMI	BA TU MI
BATY	BA TI
BAUDELAIRE	BÔ ĐƠ LE
BAUDOT	BÔ ĐỐT
BAUER	BAO Ơ
BAUHAUS	BAO HAO
BAWERK	BA QUÉT
BAYARD	BÂY ÁT
BAYEN	BA DE
BAYER	BA GIE
BAYERN	BA DE
BAYINNAUNG	BÂY IN NA UNG
BAYLE	BÂY LƠ
BAZAINE	BA GIEN
BAZHOV	BA GIỐP
BAZIL	BA DIN
BAZIN	BA GIN
BBCVT	BỘ BƯU CHÍNH VIỄN THÔNG
BBĐ	BÁO BÓNG ĐÁ
BBN	BỊ BÔI NHỌ
BBT	BAN BIÊN TẬP
BBVT	BẾN BÃI VẬN TÃI
BCBB	BÓNG CHUYỀN BÃI BIỂN
BCĐ	BAN CHỈ ĐẠO
BCĐĐMĐH	BAN CHỈ ĐẠO ĐỔI MỚI ĐẠI HỌC
BCĐPCLB	BAN CHỈ ĐẠO PHÒNG CHỐNG LỤT BÃO
BCĐQG	BAN CHỈ ĐẠO QUỐC GIA
BCĐT	BAN CHỈ ĐẠO TRUNG
BCĐTP	BAN CHỈ ĐẠO TIỀN PHƯƠNG
BCĐTS	BAN CHỈ ĐẠO TUYỂN SINH
BCH	BAN CHẤP HÀNH
BCHBP	BỘ CHỈ HUY BIÊN PHÒNG
BCHCĐ	BAN CHẤP HÀNH CÔNG ĐOÀN
BCHCĐCS	BAN CHẤP HÀNH CÔNG ĐOÀN CƠ SỞ
BCHPCLB	BAN CHỈ HUY PHÒNG CHỐNG LỤT BÃO
BCHQS	BAN CHỈ HUY QUÂN SỰ
BCHQSTP	BỘ CHỈ HUY QUÂN SỰ THÀNH PHỐ
BCHT	BAN CHẤP HÀNH TRUNG
BCHTLĐ	BAN CHẤP HÀNH TỔNG LIÊN ĐOÀN
BCHTƯ	BAN CHẤP HÀNH TRUNG ƯƠNG
BCHTW	BAN CHẤP HÀNH TRUNG ƯƠNG
BCKT	BÁO CÁO KIỂM TOÁN
BCN	BỘ CÔNG NGHIỆP
BCNCKT	BÁO CÁO NGHIÊN CỨU KHẢ THI
BCNĐA	BAN CHỦ NHIỆM ĐỀ ÁN
BCS	BAO CAO SU
BCSĐ	BAN CÁN SỰ ĐẢNG
BCTC	BÁO CÁO TÀI CHÍNH
BCTT	BÁO CHÍ TUYÊN TRUYỀN
BCVN	BƯU CHÍNH VIỆT NAM
BCVT	BƯU CHÍNH VIỄN THÔNG
BCVTVN	BƯU CHÍNH VIỄN THÔNG VIỆT NAM
BD	BÌNH DƯƠNG
BĐ	BƯU ĐIỆN
BĐATHH	BẢO ĐẢM AN TOÀN HÀNG HẢI
BĐBB	BÓNG ĐÁ BÃI BIỂN
BĐBL	BƯU ĐIỆN BẠC LIÊU
BĐBP	BỘ ĐỘI BIÊN PHÒNG
BDCBYT	BỒI DƯỠNG CÁN BỘ Y TẾ
BDCM	BÁN ĐẢO CÀ MAU
BĐCN	BÓNG ĐÁ CHUYÊN NGHIỆP
BDCT	BỒI DƯỠNG CHÍNH TRỊ
BĐCTM	BA ĐỈNH CAO THƠ MỚI
BDD	BAN ĐẠI DIỆN
BĐD	BAN ĐẠI DIỆN
BĐĐ	BẠCH ĐẰNG ĐÔNG
BĐG	BÁN ĐẤU GIÁ
BĐH	BAN ĐIỀU HÀNH
BĐHDA	BAN ĐIỀU HÀNH DỰ ÁN
BĐHN	BƯU ĐIỆN HÀ NỘI
BĐI	BÁO ĐỘNG I
BĐKH	BIẾN ĐỔI KHÍ HẬU
BĐL	BẢN ĐIỀU LỆ
BĐLA	BÌNH ĐIỀN LONG AN
BĐM	BÙI ĐỨC MINH
BĐN	BỒ ĐÀO NHA
BĐS	BẤT ĐỘNG SẢN
BĐT	BẤT ĐẲNG THỨC
BĐTN	BÓNG ĐÁ TRONG NHÀ
BĐTP	BƯU ĐIỆN THÀNH PHỐ
BĐTS	BỘ ĐỘI TRỒNG SẮN
BĐVH	BƯU ĐIỆN VĂN HOÁ
BDVHX	BƯU ĐIỆN VĂN HÓA XÃ
BĐVHX	BƯU ĐIỆN VĂN HOÁ XÃ
BDVN	BÓNG ĐÁ VIỆT NAM
BĐVN	BƯU ĐIỆN VIỆT NAM
BEATLES	BÍT TỒ
BEATRICE	BÊ A TRI CHÊ
BEAU	BÔ
BEAUCHAMP	BÔ SĂM
BEAUFORT	BÔ PHỚT
BEAUMARCHAIS	BÔ MÁC SÊ
BEAUTY	BIU TY
BEBATOV	BE BA TỐP
BECAMEX	BÊ CA MÁCH
BECHER	BÊ KHƠ
BECHUANALAND	BÊ CHUA NƠ LEN
BECKENBAUER	BÉT CEN BÂU Ơ
BECKETT	BÉT CÉT
BECKHAM	BÉT KHĂM
BECKMANN	BÉC MAN
BECKS	BÁCH
BECQUEREL	BÉC CƠ REN
BECVA	BÉC VA
BEDREDIN	BÊ ĐỜ RÊ ĐIN
BEECHER	BI CHƠ
BEER	BI Ơ
BEETHOVEN	BÉT THÔ VEN
BEGAWAN	BÊ GA OAN
BEGICHEV	BÊ GHI CHÉP
BEGIN	BÊ GHIN
BEHRENS	BÊ REN
BEILSTEIN	BAI XỜ TA IN
BEIPING	BÂY BING
BEIRUT	BÊ RÚT
BEKAA	BÊ CA
BEKHTEREV	BÊ KHƠ TÊ RÉP
BELA	BE LA
BELARUS	BÊ LA RÚT
BELDING	BEN ĐINH
BELFORT	BEN PHỚT
BELINSKIJ	BÊ LIN XỜ KI
BELIZE	BÊ LI GIƠ
